ID,Name,Price,"Quantity on Hand"
0,"Rose ebony Headboard",$222.99,59
1,"Liseran purple Dresser",$699.99,96
2,"Tango pink Sleeper Sofa","$1,279.99",84
3,"Mango Tango Crib",$289,14
4,"Middle green Ottoman",$52.99,88
5,"Artichoke Sofa",$649.99,64
6,"Dark sky blue Stool",$54.99,0
7,"Mango Tango Coffee Table",$200,24
8,"Scarlet Reclining Loveseat","$1,023.99",100
9,"Turtle green Storage Bench",$194.99,21
10,"Mimi pink Nightstand",$81.99,91
11,"Spring bud Sleeper Sofa","$1,279.99",50
12,"Middle purple Dining Chair",$89.99,52
13,"Light French beige Bench",$114.99,47
14,"Middle green Storage Bench",$194.99,57
15,"Maximum purple Crib",$289,84
16,"Hansa yellow Loveseat",$269.99,14
17,"Middle yellow Sofa",$649.99,93
18,"Rose Sofa",$649.99,99
19,"Selective yellow Crib",$289,72
20,"Sugar Plum Dresser",$699.99,87
21,"Light sea green Dining Chair",$89.99,33
22,"French violet Sectional","$1,039.99",35
23,"Medium carmine Crib",$289,93
24,"Shiny Shamrock Dining Table",$800,61
25,"Rose taupe Sleeper Sofa","$1,279.99",9
26,"Old gold Stool",$54.99,35
27,"Chocolate Dresser",$699.99,27
28,"Maximum red purple Stool",$54.99,42
29,"Chocolate Cosmos Dining Table",$800,51
30,"Orange Futon",$219.99,19
31,"Drab Storage Bench",$194.99,73
32,"Magenta Reclining Sofa","$1,119.99",22
33,"Lemon chiffon Daybed",$311.99,56
34,"Golden yellow Stool",$54.99,77
35,"Quick Silver Bench",$114.99,16
36,"Timberwolf grey Coffee Table",$200,77
37,"Deep cerise Reclining Loveseat","$1,023.99",54
38,"Orange-yellow Nightstand",$81.99,50
39,"Persian indigo Sectional","$1,039.99",59
40,"Dark pastel green Reclining Loveseat","$1,023.99",76
41,"Thistle grey Dining Chair",$89.99,77
42,"Apricot Reclining Loveseat","$1,023.99",44
43,"Key lime Headboard",$222.99,94
44,"Tuscan brown Headboard",$222.99,93
45,"Shadow grey Futon",$219.99,23
